Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  21.02.2012;137.88;138.3;137.7;137.96;623,29
  22.02.2012;137.85;139.02;137.72;138.53;713,171
  23.02.2012;138.76;139.18;138.51;139.02;652,777
  24.02.2012;138.99;139.17;138.81;139.03;485,22
  27.02.2012;139.12;139.95;138.81;139.74;812,049
  28.02.2012;139.61;140.2;139.52;140.06;725,694
  29.02.2012;139.93;140.28;139.48;139.89;910,757
  01.03.2012;139.85;140.03;139.13;139.3;794,676
  02.03.2012;139.5;140.16;139.39;140.06;657,594
  05.03.2012;139.91;140.39;139.71;139.83;946,495
  06.03.2012;139.98;140.48;139.92;140.27;1,280,796
  07.03.2012;140.22;140.52;140.1;140.28;718,866
  08.03.2012;140.22;140.29;139.84;140;56,131
  09.03.2012;138.28;138.58;138.14;138.48;492,41
  12.03.2012;138.6;139.06;138.5;138.87;431,948
  13.03.2012;138.68;138.77;137.75;138.23;659,673
  14.03.2012;137.61;137.67;136.53;136.8;948,368
  15.03.2012;136.35;136.86;136.26;136.48;856,516
  16.03.2012;136.39;136.56;135.27;135.46;920,153
  19.03.2012;135.56;136.04;135.27;135.6;652,863
  20.03.2012;135.51;135.89;135.45;135.64;663,88
  21.03.2012;135.56;136.51;135.3;136.33;879,764
  22.03.2012;136.43;137.26;136.32;137.09;899,253
  23.03.2012;137;137.7;136.87;137.39;794,882
  26.03.2012;137.46;137.59;136.59;136.74;681,101
  27.03.2012;136.85;137.55;136.63;137.31;729,973
  28.03.2012;137.45;138.06;137.12;137.86;693,691
  29.03.2012;137.88;138.43;137.73;138.31;668,609
  30.03.2012;138.44;138.58;138.02;138.49;626,973
  02.04.2012;137.89;138.55;137.72;138.42;684,911
  03.04.2012;138.26;138.5;137.6;138.29;585,97
  04.04.2012;137.84;138.74;137.8;138.42;822,18
  05.04.2012;138.56;139.38;138.37;139.15;748,991
  10.04.2012;139.9;140.44;139.45;140.32;792,738
  11.04.2012;140.27;140.28;139.52;139.82;847,469
  12.04.2012;139.83;140.05;139.49;139.67;746,026
  13.04.2012;139.91;140.42;139.79;140.36;650,915
  16.04.2012;140.39;140.56;140.09;140.39;621,473
  17.04.2012;140.3;140.41;139.82;139.96;673,036
  18.04.2012;139.98;140.49;139.82;140.36;746,555
  19.04.2012;140.31;140.78;140.06;140.62;817,999
  20.04.2012;140.58;140.86;140.21;140.38;675,751
  23.04.2012;140.61;141.37;140.58;141.29;648,702
