Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  06.06.2007;111,44;111,83;111,39;111,70;1.350.151
  07.06.2007;111,64;111,65;110,83;110,90;1.998.480
  08.06.2007;110,82;110,97;110,27;110,88;2.251.545
  11.06.2007;110,77;111,05;110,70;110,78;1.155.011
  12.06.2007;110,75;110,80;110,26;110,33;1.739.103
  13.06.2007;110,27;110,36;109,66;110,23;3.130.598
  14.06.2007;110,21;110,46;110,02;110,06;1.991.653
  15.06.2007;110,09;110,26;109,86;110,21;1.587.658
  18.06.2007;110,15;110,37;109,90;110,09;1.099.972
  19.06.2007;110,10;110,61;110,06;110,60;1.281.847
  20.06.2007;110,53;110,82;110,09;110,19;2.083.649
  21.06.2007;110,14;110,47;109,92;110,03;1.749.111
  22.06.2007;110,06;110,38;109,93;110,31;1.139.994
  25.06.2007;110,39;110,58;110,25;110,49;1.123.861
  26.06.2007;110,50;110,70;110,43;110,61;1.229.364
  27.06.2007;110,73;111,18;110,67;110,86;1.730.758
  28.06.2007;110,81;111,00;110,60;110,81;1.415.985
  29.06.2007;110,84;111,14;110,66;111,02;1.633.500
  30.06.2007;112,00;112,10;109,66;110,75;0
  02.07.2007;111,05;111,52;110,97;111,49;1.478.587
  03.07.2007;111,40;111,44;110,79;110,85;1.563.533
  04.07.2007;110,82;110,84;110,33;110,46;820.928
  05.07.2007;110,44;110,50;110,07;110,10;1.542.886
  06.07.2007;110,21;110,21;109,77;109,84;1.396.263
  09.07.2007;109,81;110,06;109,75;110,01;592.392
  10.07.2007;109,98;110,82;109,97;110,82;1.857.712
  11.07.2007;111,09;111,31;110,61;110,63;2.196.890
  12.07.2007;110,70;110,82;110,14;110,19;1.556.688
  13.07.2007;110,24;110,74;110,07;110,47;1.437.781
  16.07.2007;110,66;110,97;110,39;110,97;963.636
  17.07.2007;110,92;111,10;110,41;110,71;1.624.971
  18.07.2007;110,99;111,20;110,71;110,92;1.608.053
  19.07.2007;110,85;111,14;110,76;111,02;1.119.247
  20.07.2007;111,09;112,02;111,06;111,94;2.038.552
  23.07.2007;112,04;112,26;111,78;111,94;1.405.800
  24.07.2007;112,05;112,24;111,83;112,20;1.208.311
  25.07.2007;112,19;112,34;111,98;112,15;1.462.755
  26.07.2007;112,17;113,10;112,05;113,03;2.221.290
  27.07.2007;113,05;113,11;112,71;113,00;1.851.623
  30.07.2007;112,80;113,34;112,80;112,91;1.577.915
  31.07.2007;111,05;113,34;109,75;112,75;1.671.303
  01.08.2007;113,35;113,38;112,63;112,68;1.767.338
  02.08.2007;112,74;112,82;112,37;112,60;1.222.151
  03.08.2007;112,53;113,15;112,51;113,14;1.148.604
  06.08.2007;113,13;113,22;112,63;112,66;777.260
  07.08.2007;112,71;112,98;112,52;112,59;779.774
  08.08.2007;112,49;112,58;111,92;112,03;1.381.158
  09.08.2007;112,08;112,79;112,08;112,37;1.761.843
  10.08.2007;112,55;113,04;112,46;112,51;1.483.464
  13.08.2007;112,55;112,80;112,38;112,72;885.150
  14.08.2007;112,75;112,84;112,19;112,69;1.342.614
  15.08.2007;112,90;113,24;112,82;113,17;1.411.777
  16.08.2007;113,24;114,11;113,12;113,57;1.770.812
  17.08.2007;113,77;113,90;113,05;113,30;1.483.470
  20.08.2007;113,15;113,61;113,10;113,43;778.002
  21.08.2007;113,55;114,05;113,47;113,87;1.211.853
