"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"1615";"TD";"2001-11-16";"K";"44";"30";"21";"12";"13";"6";"0000-00-00 00:00:00"
"5497";"TD";"2001-11-16";"M";"36";"37";"23";"9";"12";"10";"0000-00-00 00:00:00"
"1616";"TD";"2001-11-23";"K";"38";"36";"24";"16";"19";"5";"0000-00-00 00:00:00"
"5498";"TD";"2001-11-23";"M";"29";"42";"27";"8";"16";"16";"0000-00-00 00:00:00"
"1617";"TD";"2001-11-30";"K";"29";"37";"30";"9";"25";"14";"0000-00-00 00:00:00"
"5499";"TD";"2001-11-30";"M";"36";"37";"22";"12";"18";"18";"0000-00-00 00:00:00"
"1618";"TD";"2001-12-07";"K";"60";"28";"16";"18";"15";"8";"0000-00-00 00:00:00"
"5500";"TD";"2001-12-07";"M";"35";"34";"36";"11";"12";"17";"0000-00-00 00:00:00"
"1619";"TD";"2001-12-14";"K";"21";"32";"39";"9";"25";"17";"0000-00-00 00:00:00"
"5501";"TD";"2001-12-14";"M";"31";"39";"22";"11";"19";"21";"0000-00-00 00:00:00"
"1620";"TD";"2002-01-04";"K";"53";"30";"17";"30";"10";"4";"0000-00-00 00:00:00"
"5502";"TD";"2002-01-04";"M";"30";"44";"27";"12";"16";"15";"0000-00-00 00:00:00"
"1621";"TD";"2002-01-11";"K";"27";"55";"29";"16";"22";"11";"0000-00-00 00:00:00"
"5503";"TD";"2002-01-11";"M";"48";"32";"29";"13";"18";"18";"0000-00-00 00:00:00"
"1622";"TD";"2002-01-18";"K";"24";"53";"40";"9";"16";"21";"0000-00-00 00:00:00"
"5504";"TD";"2002-01-18";"M";"49";"36";"34";"11";"17";"18";"0000-00-00 00:00:00"
"1623";"TD";"2002-01-25";"K";"26";"62";"29";"16";"23";"14";"0000-00-00 00:00:00"
"5505";"TD";"2002-01-25";"M";"47";"46";"25";"15";"18";"20";"0000-00-00 00:00:00"
"1624";"TD";"2002-02-01";"K";"31";"65";"33";"17";"22";"11";"0000-00-00 00:00:00"
"5506";"TD";"2002-02-01";"M";"54";"51";"24";"20";"14";"16";"0000-00-00 00:00:00"
"1625";"TD";"2002-02-08";"K";"19";"32";"69";"11";"7";"21";"0000-00-00 00:00:00"
"5507";"TD";"2002-02-08";"M";"45";"36";"39";"12";"14";"13";"0000-00-00 00:00:00"
"1626";"TD";"2002-02-15";"K";"12";"59";"62";"12";"25";"12";"0000-00-00 00:00:00"
"5508";"TD";"2002-02-15";"M";"46";"49";"38";"16";"21";"12";"0000-00-00 00:00:00"
"1627";"TD";"2002-02-22";"K";"12";"37";"73";"6";"10";"29";"0000-00-00 00:00:00"
"5509";"TD";"2002-02-22";"M";"29";"61";"34";"13";"12";"20";"0000-00-00 00:00:00"
"1628";"TD";"2002-03-01";"K";"32";"62";"35";"15";"26";"8";"0000-00-00 00:00:00"
"5510";"TD";"2002-03-01";"M";"44";"61";"25";"15";"21";"13";"0000-00-00 00:00:00"
"1629";"TD";"2002-03-08";"K";"59";"55";"28";"18";"17";"4";"0000-00-00 00:00:00"
"5511";"TD";"2002-03-08";"M";"61";"53";"28";"16";"13";"11";"0000-00-00 00:00:00"
